nick_a,nick_b,games,a_wins,b_wins,draws,p_a_wins,ci_lower,ci_upper,uncertainty
wbc3ifndef,wbcbeetle,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbc3ifndef,wbcfojtman,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbc3ifndef,wbcpiggi,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbc3ifndef,wbcpuholek,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbc3ifndef,wbcquantum,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbc3ifndef,wbctasemnice,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbca,wbc366,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbca,wbcbogimp,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbca,wbckakosik,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbca,wbcset,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbca,wbcuida,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbca,wbcyu20,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcadelstepan,wbc1211,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcadelstepan,wbcg3m,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcadelstepan,wbcgenghis,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcadelstepan,wbcmichi,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcadelstepan,wbcnguyenminh,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcadelstepan,wbcplayer,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcalleb,wbcangst,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcalleb,wbccrosslet,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcalleb,wbckremufka,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcalleb,wbcmatiss,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcalleb,wbcsiwer,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcasz,wbcciaran,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcasz,wbcmark,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcasz,wbcnguyenminh,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcasz,wbcplayer,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcasz,wbczoli,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcbb,wbcdeafbat,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcbb,wbcpurkys,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcbb,wbcshpek,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcbeetle,wbcdeafbat,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcbeetle,wbcpurkys,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcbeetle,wbcshpek,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcbogimp,wbccoldmind,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcbogimp,wbcgeordie,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcbogimp,wbcrichi,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcbromozel,wbcheater,1,0,0,1,0.5,0.09429932405024609,0.9057006759497539,0.8114013518995078
wbcc,wbc366,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcc,wbcbogimp,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcc,wbckakosik,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcc,wbcset,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcc,wbcuida,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcc,wbcyu20,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
