player_nick,player_name,team,total_score,total_games,career_efficiency,eff_std,eff_min,eff_max,eff_range,adjusted_efficiency,sos,consistency,rank,composite_index
wbczoli,Zoltán László,Hungary A,86.5,96.0,0.901,0.0789830572549159,0.8472,1.0,0.1528,0.8783345705238631,0.5931625,0.8472,1.0,2.284402180511144
wbcquantum,Adrian Fitzermann,Poland A,64.0,72.0,0.8889,0.039315137033972,0.8611,0.9167,0.0555999999999999,0.8119226755479646,0.48688333333333333,0.9444000000000001,2.0,0.27729126317735364
wbcbeetle,Michał Żukowski,Poland A,70.5,84.0,0.8393,0.0765068188682115,0.7639,0.9167,0.1527999999999999,0.7942503870301137,0.4656142857142857,0.8472000000000001,3.0,-1.914363665192269
wbcbb,Bogdan Brachaczek,Poland A,60.0,72.0,0.8333,0.1178747004237974,0.75,0.9167,0.1666999999999999,0.7611375470065463,0.40818333333333334,0.8333000000000002,4.0,-3.583569497850931
wbcpuholek,Michał Zajk,Poland A,74.0,96.0,0.7708,0.0578142715944774,0.7222,0.8333,0.1111,0.7514098634403926,0.47165,0.8889,5.5,-5.066748212199045
wbcg3m,Igor Eged,Slovakia,80.5,108.0,0.7454,0.104227267705401,0.6389,0.8472,0.2082999999999999,0.7454,0.4336,0.7917000000000001,8.0,-5.936417557564859
wbcnguyenminh,Nguyễn Công Minh,Czechia C,69.5,96.0,0.724,0.0735889257972964,0.6667,0.8125,0.1458,0.7057871576684539,0.45711250000000003,0.8542,10.0,-8.94282852608595
wbcfurla,Ilya Muratov,Russia,75.0,108.0,0.6944,0.2097330763931462,0.5,0.9167,0.4166999999999999,0.6944,0.38041111111111114,0.5833000000000002,14.0,-11.553943855493127
wbcd,František Fňukal,Czechia A,76.5,108.0,0.7083,0.1929574132634798,0.4861,0.8333,0.3472,0.7083,0.5085999999999999,0.6528,11.0,-12.306708921674709
wbca,Adam Horváth,Czechia A,75.5,108.0,0.6991,0.186510491215195,0.4861,0.8333,0.3472,0.6991,0.4877666666666667,0.6528,13.0,-12.61854584758401
wbcmatiss,Matīss Riherts,Team International A,53.5,72.0,0.7431,0.0883883476483184,0.6806,0.8056,0.125,0.678748723365612,0.6022500000000001,0.875,9.0,-14.03231641236868
