nick,bt_strength,bt_rank,full_name,team
wbcmatiss,28.585141,1,Matīss Riherts,Team International A
wbczoli,19.334986,2,Zoltán László,Hungary A
wbcquantum,4.402612,3,Adrian Fitzermann,Poland A
wbcpuholek,3.378852,4,Michał Zajk,Poland A
wbcbeetle,2.762758,5,Michał Żukowski,Poland A
wbcg3m,2.103886,6,Igor Eged,Slovakia
wbcbb,1.543841,7,Bogdan Brachaczek,Poland A
wbcheater,0.907008,8,Łukasz Majksner,Team International A
wbcbromozel,0.857164,9,Ilya Katsev,Russia
wbcmk108,0.350578,10,Denis Kachaev,Russia
wbcd,0.321604,11,František Fňukal,Czechia A
wbca,0.320919,12,Adam Horváth,Czechia A
wbcfurla,0.290019,13,Ilya Muratov,Russia
wbcyu20,0.166375,14,Liu Wenhao,China
wbcc,0.126926,15,Petr Žižka,Czechia A
wbcashot,0.126739,16,Ashot Avetisyan,Team International A
wbckremufka,0.086549,17,Szczepan Łukasik,Team International A
wbcnguyenminh,0.04396,18,Nguyễn Công Minh,Team International D
wbcmark,0.04341,19,Márk Horváth,Hungary A
wbcalleb,0.037858,20,Alexey Lebedev,Russia
wbc3ifndef,0.036232,21,Jakub Horák,Czechia B
wbclojzeidon,0.035824,22,Alois Mikeš,Czechia C
wbcpangbai,0.033223,23,Zhang Haoxiang,China
wbcmartez,0.01971,24,Martin Muzika,Czechia B
wbciwbtc,0.019497,25,Lukáš Souček,Czechia B
wbcsiwer,0.013295,26,Michał Pietrusiak,Poland B
wbciron,0.012696,27,Zoltán Sonkoly,Hungary A
wbcset,0.008316,28,Konstantin Solomatin,Team International B
wbcbogimp,0.008283,29,Anton Efremov,Team International B
wbcpeaceman,0.007936,30,Paweł Nowak,Poland B
wbcshpek,0.001905,31,Radim Kostlivý,Czechia E
wbcdeafbat,0.001901,32,Jan Kopecký,Czechia E
wbcrostas,0.001883,33,Ferenc Rostás,Hungary B
wbcangst,0.001668,34,Piotr Małowiejski,Poland B
wbcdistilfire,0.001489,35,Petr Podolský,Czechia C
wbcciaran,0.001188,36,Ciarán Lucey,Hungary A
wbccoldmind,0.001131,37,Stanislav Hyžík jr.,Team International C
wbctasemnice,0.000662,38,Tomáš Palacký,Czechia D
wbcplayer,0.000563,39,Li Fuwen,Team International D
wbchajnal,0.000285,40,Hajnalka Kovács,Team International B
wbcperoxid,0.000253,41,Štěpán Tesařík,Czechia C
wbcgenghis,0.000242,42,Milán Nagy,Slovakia
wbcuida,0.000163,43,Liu Xiangbo,China
wbcvotocek,6.8e-05,44,Jakub Šalajka,Czechia F
wbcpiggi,6.7e-05,45,Matěj Holub,Czechia D
wbclasek,5.1e-05,46,Zoltán Menyhárt,Hungary B
wbcwonderwall,5e-05,47,Josef Holba,Czechia D
wbcfojtman,3.9e-05,48,Jakub Fojtík,Czechia D
wbcgeordie,3.8e-05,49,Stanislav Hyžík sr.,Team International C
wbcnirvana,3.5e-05,50,Róbert Pátkai,Hungary B
wbckakosik,3.4e-05,51,Eva Orlova,Team International B
wbcmichi,3.2e-05,52,Michal Ferdinandy,Slovakia
wbcasz,3e-05,53,Gábor Nagy,Hungary B
wbcadelstepan,5e-06,54,Libor Krejčíř,Czechia F
wbcskoupy,5e-06,55,Vít Jiřík,Czechia F
wbcpurkys,4e-06,56,Jan Purkrábek,Czechia E
wbc366,1e-06,57,Wang Haoran,China
wbc1211,1e-06,58,Wang Siyuan,Team International D
wbckaktuszka,1e-06,59,Krisztina Kamarás,Hungary C
wbcfuzaty,1e-06,60,Michal Holec,Team International C
wbccrosslet,1e-06,61,Karol Podwyszyński,Poland B
wbccsaba,1e-06,62,Csaba Kamarás,Hungary C
wbcmulan,1e-06,63,Bai Liu,Team International D
wbcrichi,1e-06,64,Richard Červenka,Team International C
wbcseabow,1e-06,65,Jana Adámková,Team International C
wbctorpe,1e-06,66,M. Nándor Halena,Hungary C
