player_nick,player_name,team,total_score,total_games,career_efficiency,eff_std,eff_min,eff_max,eff_range,adjusted_efficiency,sos,consistency,rank,composite_index
wbczoli,Zoltán László,Hungary A,86.5,96.0,0.901,0.0789830572549159,0.8472,1.0,0.1528,0.8422372616610633,0.559725,0.8472,1.0,3.7217164550771216
wbcquantum,Adrian Fitzermann,Poland A,64.0,72.0,0.8889,0.039315137033972,0.8611,0.9167,0.0555999999999999,0.7785547260495344,0.50905,0.9444000000000001,2.0,0.32923843893366467
wbcbeetle,Michał Żukowski,Poland A,70.5,84.0,0.8393,0.0765068188682115,0.7639,0.9167,0.1527999999999999,0.7616087234805116,0.4846142857142857,0.8472000000000001,3.0,-1.9308687518638727
wbcbb,Bogdan Brachaczek,Poland A,60.0,72.0,0.8333,0.1178747004237974,0.75,0.9167,0.1666999999999999,0.7298567366600035,0.40818333333333334,0.8333000000000002,4.0,-3.4844113855055454
wbcpuholek,Michał Zajk,Poland A,74.0,96.0,0.7708,0.0578142715944774,0.7222,0.8333,0.1111,0.7205288360580995,0.488275,0.8889,5.0,-5.042789105062177
wbcg3m,Igor Eged,Slovakia,80.5,108.0,0.7454,0.104227267705401,0.6389,0.8472,0.2082999999999999,0.7147659626646792,0.44837777777777776,0.7917000000000001,7.0,-6.050380496941834
wbcnguyenminh,Nguyễn Công Minh,Team International D,69.5,96.0,0.724,0.0735889257972964,0.6667,0.8125,0.1458,0.6767811070395225,0.435825,0.8542,9.0,-8.33667747931997
wbcfurla,Ilya Muratov,Russia,75.0,108.0,0.6944,0.2097330763931462,0.5,0.9167,0.4166999999999999,0.6658619324850459,0.38041111111111114,0.5833000000000002,13.0,-11.70748500176575
wbcd,František Fňukal,Czechia A,76.5,108.0,0.7083,0.1929574132634798,0.4861,0.8333,0.3472,0.6791906779653774,0.5137222222222222,0.6528,10.0,-12.083142594564482
wbca,Adam Horváth,Czechia A,75.5,108.0,0.6991,0.186510491215195,0.4861,0.8333,0.3472,0.6703687744819925,0.4928888888888889,0.6528,12.0,-12.47323720208857
