player_nick,round_1_elo,round_2_elo,round_3_elo
wbca,1222.9,1222.6,1244.6
wbcuida,1176.7,1155.5,1178.4
wbcd,1215.3,1223.1,1246.1
wbc366,1154.5,1200.0,1200.0
wbcc,1207.5,1216.0,1238.3
wbcyu20,1200.4,1193.7,1214.1
wbcfojtman,1215.6,1192.2,1171.0
wbccsaba,1177.3,1154.7,1133.3
wbcwonderwall,1244.8,1200.0,1212.6
wbckaktuszka,1176.7,1154.0,1132.7
wbctasemnice,1222.9,1199.0,1192.1
wbctorpe,1177.4,1154.3,1132.9
wbcrostas,1184.4,1191.8,1201.4
wbciron,1215.6,1192.2,1208.1
wbcnirvana,1177.1,1200.0,1192.9
wbcciaran,1223.3,1200.0,1237.6
wbcasz,1176.7,1199.7,1185.1
wbczoli,1222.9,1246.2,1260.0
wbcbeetle,1222.9,1230.2,1253.2
wbcpurkys,1177.1,1154.8,1148.2
wbcbb,1222.9,1244.6,1200.0
wbcdeafbat,1177.1,1186.1,1200.8
wbcpuholek,1222.9,1237.7,1260.1
wbcshpek,1177.1,1186.4,1201.5
wbcg3m,1224.0,1244.1,1263.6
wbciwbtc,1207.6,1230.9,1207.9
wbcmichi,1176.4,1168.4,1177.6
wbc3ifndef,1207.6,1231.2,1208.3
wbcgenghis,1176.7,1168.4,1193.5
wbcmartez,1207.6,1231.0,1208.1
wbccoldmind,1177.3,1171.1,1179.6
wbcfurla,1222.7,1236.0,1234.9
wbcseabow,1155.2,1200.0,1200.0
wbcbromozel,1244.8,1200.0,1243.5
wbcgeordie,1192.0,1176.9,1169.0
wbcalleb,1222.7,1244.3,1227.5
wbclojzeidon,1207.5,1185.0,1209.0
wbcplayer,1192.6,1217.0,1223.7
wbcperoxid,1199.4,1177.6,1154.8
wbc1211,1176.7,1154.5,1200.0
wbcdistilfire,1207.6,1184.9,1168.9
wbcnguyenminh,1216.2,1231.1,1252.4
wbcfuzaty,1170.5,1200.0,1200.0
wbcpiggi,1215.3,1169.6,1154.2
wbcmark,1215.3,1183.7,1199.0
wbclasek,1184.7,1214.9,1228.8
wbcashot,1200.0,1228.5,1211.5
wbcmatiss,1200.0,1222.6,1246.8
wbcpangbai,1200.0,1185.1,1206.0
wbckremufka,1200.0,1211.8,1213.6
wbcquantum,1200.0,1223.3,1246.7
wbcadelstepan,1200.0,1191.9,1168.7
wbcvotocek,1200.0,1191.9,1184.3
wbcangst,1200.0,1178.1,1178.4
wbcmk108,1200.0,1222.8,1215.0
wbcsiwer,1200.0,1185.9,1193.5
wbccrosslet,1200.0,1156.8,1200.0
wbcset,1200.0,1222.6,1199.5
wbcbogimp,1200.0,1222.8,1199.7
wbcrichi,1200.0,1176.7,1153.0
wbckakosik,1200.0,1183.0,1155.4
wbcskoupy,1200.0,1198.3,1152.2
wbchajnal,1200.0,1215.3,1200.4
wbcpeaceman,1200.0,1200.0,1213.7
wbcmulan,1200.0,1200.0,1154.2
wbcheater,1200.0,1200.0,1219.5
