player_nick,player_name,team,total_score,total_games,career_efficiency,eff_std,eff_min,eff_max,eff_range
wbczoli,Zoltán László,Hungary A,86.5,96.0,0.901,0.07898305725491597,0.8472,1.0,0.15280000000000005
wbcquantum,Adrian Fitzermann,Poland A,64.0,72.0,0.8889,0.03931513703397207,0.8611,0.9167,0.05559999999999998
wbcbeetle,Michał Żukowski,Poland A,70.5,84.0,0.8393,0.07650681886821152,0.7639,0.9167,0.15279999999999994
wbcbb,Bogdan Brachaczek,Poland A,60.0,72.0,0.8333,0.11787470042379748,0.75,0.9167,0.16669999999999996
wbcpuholek,Michał Zajk,Poland A,74.0,96.0,0.7708,0.05781427159447743,0.7222,0.8333,0.11110000000000009
wbcbromozel,Ilya Katsev,Russia,36.0,48.0,0.75,0.2356786901694763,0.5,0.8333,0.33330000000000004
wbcg3m,Igor Eged,Slovakia,80.5,108.0,0.7454,0.10422726770540101,0.6389,0.8472,0.20829999999999993
wbcmatiss,Matīss Riherts,Team International A,53.5,72.0,0.7431,0.08838834764831845,0.6806,0.8056,0.125
wbcnguyenminh,Nguyễn Công Minh,Team International D,69.5,96.0,0.724,0.07358892579729642,0.6667,0.8125,0.14580000000000004
wbcd,František Fňukal,Czechia A,76.5,108.0,0.7083,0.19295741326347984,0.4861,0.8333,0.34720000000000006
wbcc,Petr Žižka,Czechia A,76.0,108.0,0.7037,0.2782116999696454,0.4167,0.9722,0.5554999999999999
wbca,Adam Horváth,Czechia A,75.5,108.0,0.6991,0.18651049121519503,0.4861,0.8333,0.34720000000000006
wbcfurla,Ilya Muratov,Russia,75.0,108.0,0.6944,0.20973307639314628,0.5,0.9167,0.41669999999999996
wbcashot,Ashot Avetisyan,Team International A,33.0,48.0,0.6875,0.25533625868646237,0.4167,0.7778,0.36110000000000003
wbcciaran,Ciarán Lucey,Hungary A,49.0,72.0,0.6806,0.05890199487283936,0.6389,0.7222,0.08329999999999993
wbciron,Zoltán Sonkoly,Hungary A,65.0,96.0,0.6771,0.3047254720782845,0.3472,0.875,0.5278
wbcmartez,Martin Muzika,Czechia B,89.0,132.0,0.6742,0.2828738588134294,0.3056,0.9583,0.6527000000000001
wbcalleb,Alexey Lebedev,Russia,64.0,96.0,0.6667,0.33945975215529356,0.25,0.9167,0.6667
wbcpangbai,Zhang Haoxiang,China,47.0,72.0,0.6528,0.4517705225000852,0.3333,0.9722,0.6389
wbclasek,Zoltán Menyhárt,Hungary B,37.0,60.0,0.6167,0.5108779665112468,0.0,1.0,1.0
wbcpeaceman,Paweł Nowak,Poland B,22.0,36.0,0.6111,,0.6111,0.6111,0.0
wbcyu20,Liu Wenhao,China,65.0,108.0,0.6019,0.30469204671821243,0.3611,0.9444,0.5833
wbciwbtc,Lukáš Souček,Czechia B,79.0,132.0,0.5985,0.2498407943070947,0.2361,0.7778,0.5417000000000001
wbcmk108,Denis Kachaev,Russia,42.5,72.0,0.5903,0.18660547955512985,0.4583,0.7222,0.26389999999999997
wbckremufka,Szczepan Łukasik,Team International A,35.0,60.0,0.5833,0.04907321061434645,0.5417,0.6111,0.06940000000000002
wbcplayer,Li Fuwen,Team International D,62.0,108.0,0.5741,0.1548781564112039,0.4583,0.75,0.2917
wbcmark,Márk Horváth,Hungary A,33.0,60.0,0.55,0.19243084472090227,0.4167,0.75,0.3333
wbc3ifndef,Jakub Horák,Czechia B,72.0,132.0,0.5455,0.3096418684006843,0.1111,0.7778,0.6667000000000001
wbcdeafbat,Jan Kopecký,Czechia E,57.0,108.0,0.5278,0.2819322672794537,0.2222,0.7778,0.5556000000000001
wbcheater,Łukasz Majksner,Team International A,19.0,36.0,0.5278,,0.5278,0.5278,0.0
wbcset,Konstantin Solomatin,Team International B,37.5,72.0,0.5208,0.4026973118857389,0.2361,0.8056,0.5695
wbcsiwer,Michał Pietrusiak,Poland B,37.0,72.0,0.5139,0.09821713190681146,0.4444,0.5833,0.13890000000000002
wbcnirvana,Róbert Pátkai,Hungary B,67.0,132.0,0.5076,0.3674772192485769,0.1944,1.0,0.8056
wbcasz,Gábor Nagy,Hungary B,59.5,120.0,0.4958,0.36339807374283095,0.2222,1.0,0.7778
wbcwonderwall,Josef Holba,Czechia D,35.0,72.0,0.4861,0.6088896492797361,0.0556,0.9167,0.8611
wbcbogimp,Anton Efremov,Team International B,34.5,72.0,0.4792,0.5008437331144316,0.125,0.8333,0.7083
wbctasemnice,Tomáš Palacký,Czechia D,46.0,96.0,0.4792,0.37815776249249916,0.1667,0.8889,0.7222000000000001
wbcvotocek,Jakub Šalajka,Czechia F,34.5,72.0,0.4792,0.04914392129246506,0.4444,0.5139,0.0695
wbclojzeidon,Alois Mikeš,Czechia C,51.5,108.0,0.4769,0.27085066611203545,0.1667,0.6667,0.5
wbcrostas,Ferenc Rostás,Hungary B,40.0,84.0,0.4762,0.3869718626722103,0.125,0.9167,0.7917
wbcgenghis,Milán Nagy,Slovakia,50.0,108.0,0.463,0.2501287735014373,0.2083,0.7083,0.5
wbchajnal,Hajnalka Kovács,Team International B,11.0,24.0,0.4583,0.6482047863137081,0.0,0.9167,0.9167
wbcmichi,Michal Ferdinandy,Slovakia,46.0,108.0,0.4259,0.3072285848246112,0.1389,0.75,0.6111
wbcshpek,Radim Kostlivý,Czechia E,45.0,108.0,0.4167,0.3274518183387189,0.0556,0.6944,0.6388
