nick_a,nick_b,p_a_wins_elo
wbca,wbcuida,0.5942
wbcc,wbcyu20,0.5349
wbcd,wbc366,0.6288
wbca,wbcyu20,0.5439
wbcc,wbc366,0.6183
wbcd,wbcuida,0.5963
wbca,wbc366,0.6268
wbcc,wbcuida,0.5854
wbcd,wbcyu20,0.5461
wbcfojtman,wbccsaba,0.5543
wbctasemnice,wbctorpe,0.5847
wbcwonderwall,wbckaktuszka,0.5952
wbcfojtman,wbctorpe,0.555
wbctasemnice,wbckaktuszka,0.5847
wbcwonderwall,wbccsaba,0.5946
wbcpiggi,wbckaktuszka,0.531
wbctasemnice,wbccsaba,0.584
wbcwonderwall,wbctorpe,0.5953
wbcasz,wbczoli,0.3743
wbcnirvana,wbcciaran,0.4156
wbcrostas,wbciron,0.4676
wbcasz,wbcciaran,0.4053
wbcnirvana,wbciron,0.4452
wbcrostas,wbczoli,0.4059
wbcasz,wbcmark,0.4591
wbclasek,wbcciaran,0.4642
wbcnirvana,wbczoli,0.3843
wbcbb,wbcdeafbat,0.5628
wbcbeetle,wbcpurkys,0.6467
wbcpuholek,wbcshpek,0.5836
wbcbb,wbcshpek,0.5618
wbcbeetle,wbcdeafbat,0.5748
wbcpuholek,wbcpurkys,0.6558
wbcbb,wbcpurkys,0.6353
wbcbeetle,wbcshpek,0.5739
wbcpuholek,wbcdeafbat,0.5846
wbcg3m,wbciwbtc,0.5586
wbcgenghis,wbcmartez,0.4564
wbcmichi,wbc3ifndef,0.4345
wbcg3m,wbcmartez,0.557
wbcgenghis,wbc3ifndef,0.457
wbcmichi,wbciwbtc,0.4355
wbcg3m,wbc3ifndef,0.5577
wbcgenghis,wbciwbtc,0.458
wbcmichi,wbcmartez,0.4338
wbccoldmind,wbcfurla,0.4211
wbcgeordie,wbcalleb,0.4166
wbcseabow,wbcbromozel,0.3756
wbccoldmind,wbcbromozel,0.409
wbcfuzaty,wbcfurla,0.4083
wbcseabow,wbcalleb,0.3975
wbccoldmind,wbcalleb,0.4316
wbcfuzaty,wbcbromozel,0.3964
wbcseabow,wbcfurla,0.3873
wbc1211,wbcperoxid,0.4995
wbcnguyenminh,wbcdistilfire,0.618
wbcplayer,wbclojzeidon,0.5211
wbc1211,wbclojzeidon,0.4221
wbcnguyenminh,wbcperoxid,0.6369
wbcplayer,wbcdistilfire,0.5782
wbc1211,wbcdistilfire,0.4793
wbcnguyenminh,wbclojzeidon,0.5621
wbcplayer,wbcperoxid,0.5978
wbcpangbai,wbckremufka,0.489
wbcuida,wbcmatiss,0.4028
wbcyu20,wbcashot,0.5037
wbcpangbai,wbcashot,0.492
wbcuida,wbckremufka,0.4496
wbcyu20,wbcmatiss,0.453
wbcpangbai,wbcmatiss,0.4414
wbcuida,wbcashot,0.4525
wbcyu20,wbckremufka,0.5007
wbc3ifndef,wbcpiggi,0.5983
wbciwbtc,wbcfojtman,0.5739
wbcmartez,wbctasemnice,0.5456
wbc3ifndef,wbcfojtman,0.5748
wbciwbtc,wbctasemnice,0.544
wbcmartez,wbcpiggi,0.5989
wbc3ifndef,wbctasemnice,0.5449
wbciwbtc,wbcpiggi,0.5973
wbcmartez,wbcfojtman,0.5755
wbcdistilfire,wbcquantum,0.3899
wbclojzeidon,wbcbb,0.449
wbcperoxid,wbcpuholek,0.3529
wbcdistilfire,wbcbb,0.3927
wbclojzeidon,wbcpuholek,0.427
wbcperoxid,wbcquantum,0.3708
wbcdistilfire,wbcbeetle,0.381
wbclojzeidon,wbcquantum,0.446
wbcperoxid,wbcbb,0.3736
wbcdeafbat,wbcmichi,0.5333
wbcpurkys,wbcgenghis,0.4352
wbcshpek,wbcg3m,0.4115
wbcdeafbat,wbcg3m,0.4105
wbcpurkys,wbcmichi,0.4577
wbcshpek,wbcgenghis,0.5115
wbcdeafbat,wbcgenghis,0.5105
wbcpurkys,wbcg3m,0.3397
wbcshpek,wbcmichi,0.5343
wbcadelstepan,wbcplayer,0.4215
wbcvotocek,wbc1211,0.5429
wbcadelstepan,wbcnguyenminh,0.3818
wbcskoupy,wbc1211,0.4968
wbcvotocek,wbcplayer,0.4436
wbcadelstepan,wbc1211,0.5205
wbcskoupy,wbcplayer,0.3986
wbcvotocek,wbcnguyenminh,0.4032
wbciron,wbcd,0.4569
wbcmark,wbca,0.4347
wbczoli,wbcc,0.5308
wbciron,wbca,0.4591
wbcmark,wbcc,0.4437
wbczoli,wbcd,0.5196
wbciron,wbcc,0.4681
wbcmark,wbcd,0.4326
wbczoli,wbca,0.5218
wbccsaba,wbcnirvana,0.4359
wbckaktuszka,wbclasek,0.3875
wbctorpe,wbcasz,0.4457
wbccsaba,wbclasek,0.3882
wbckaktuszka,wbcasz,0.4457
wbctorpe,wbcnirvana,0.4352
wbccsaba,wbcasz,0.4464
wbckaktuszka,wbcnirvana,0.4352
wbctorpe,wbcrostas,0.4132
wbcalleb,wbccrosslet,0.6003
wbcfurla,wbcangst,0.5807
wbcmk108,wbcsiwer,0.5309
wbcalleb,wbcangst,0.5702
wbcfurla,wbcsiwer,0.5594
wbcmk108,wbccrosslet,0.583
wbcalleb,wbcsiwer,0.5487
wbcfurla,wbccrosslet,0.6106
wbcmk108,wbcangst,0.5525
wbcbogimp,wbcrichi,0.5667
wbckakosik,wbccoldmind,0.4651
wbcset,wbcgeordie,0.5439
wbcbogimp,wbccoldmind,0.5288
wbckakosik,wbcgeordie,0.4804
wbcset,wbcrichi,0.5665
wbcbogimp,wbcgeordie,0.544
wbchajnal,wbcrichi,0.5677
wbcset,wbccoldmind,0.5286
wbca,wbckakosik,0.6257
wbcc,wbcset,0.5556
wbcd,wbcbogimp,0.5665
wbca,wbcbogimp,0.5643
wbcc,wbckakosik,0.6172
wbcd,wbcset,0.5667
wbca,wbcset,0.5645
wbcc,wbcbogimp,0.5554
wbcd,wbchajnal,0.5655
wbc3ifndef,wbcpuholek,0.4473
wbciwbtc,wbcquantum,0.4655
wbcmartez,wbcbeetle,0.4579
wbc3ifndef,wbcbeetle,0.4572
wbciwbtc,wbcpuholek,0.4464
wbcmartez,wbcquantum,0.4672
wbc3ifndef,wbcquantum,0.4665
wbciwbtc,wbcbeetle,0.4563
wbcmartez,wbcpuholek,0.448
wbcdistilfire,wbcangst,0.4863
wbclojzeidon,wbcpeaceman,0.4934
wbcperoxid,wbcsiwer,0.4446
wbcdistilfire,wbcpeaceman,0.4359
wbclojzeidon,wbcsiwer,0.5224
wbcperoxid,wbcangst,0.4661
wbcdistilfire,wbcsiwer,0.4647
wbclojzeidon,wbcangst,0.544
wbcperoxid,wbcpeaceman,0.4161
wbcfojtman,wbciron,0.4354
wbcpiggi,wbcmark,0.4359
wbcwonderwall,wbcciaran,0.4463
wbcfojtman,wbcciaran,0.406
wbctasemnice,wbciron,0.4655
wbcwonderwall,wbczoli,0.4143
wbcfojtman,wbczoli,0.375
wbctasemnice,wbcciaran,0.4356
wbcwonderwall,wbciron,0.4763
wbcadelstepan,wbcg3m,0.3667
wbcskoupy,wbcgenghis,0.4409
wbcvotocek,wbcmichi,0.5097
wbcadelstepan,wbcgenghis,0.4644
wbcskoupy,wbcmichi,0.4636
wbcvotocek,wbcg3m,0.3878
wbcadelstepan,wbcmichi,0.4872
wbcskoupy,wbcg3m,0.345
wbcvotocek,wbcgenghis,0.4869
wbcasz,wbcplayer,0.4241
wbcnirvana,wbcnguyenminh,0.3944
wbcrostas,wbcmulan,0.5565
wbcasz,wbcnguyenminh,0.3842
wbcnirvana,wbcmulan,0.5341
wbcrostas,wbcplayer,0.4568
wbclasek,wbcmulan,0.5827
wbcnirvana,wbcplayer,0.4345
wbcrostas,wbcnguyenminh,0.4161
wbccsaba,wbcpangbai,0.3967
wbckaktuszka,wbcuida,0.4345
wbctorpe,wbcyu20,0.3849
wbccsaba,wbcyu20,0.3856
wbckaktuszka,wbcpangbai,0.3961
wbctorpe,wbcuida,0.4345
wbccsaba,wbcuida,0.4352
wbckaktuszka,wbcyu20,0.385
wbctorpe,wbcpangbai,0.396
wbcalleb,wbckremufka,0.52
wbcfurla,wbcheater,0.5222
wbcmk108,wbcmatiss,0.4543
wbcalleb,wbcmatiss,0.4722
wbcfurla,wbckremufka,0.5307
wbcmk108,wbcheater,0.4935
wbcbromozel,wbcheater,0.5346
wbcfurla,wbcmatiss,0.4829
wbcmk108,wbcashot,0.505
wbccoldmind,wbcpurkys,0.5451
