player,opponent,games,p_elo,p_bayes,ci_lower,ci_upper,uncertainty,signal
wbc1211,wbcdistilfire,1,0.4793,0.4,0.0676,0.8059,0.7383,-0.0793
wbc1211,wbclojzeidon,1,0.4222,0.4,0.0676,0.8059,0.7383,-0.0222
wbc1211,wbcperoxid,1,0.4996,0.4,0.0676,0.8059,0.7383,-0.0996
wbc1211,wbcadelstepan,1,0.4796,0.4,0.0676,0.8059,0.7383,-0.0796
wbc1211,wbcskoupy,1,0.5033,0.4,0.0676,0.8059,0.7383,-0.1033
wbc1211,wbcvotocek,1,0.4572,0.4,0.0676,0.8059,0.7383,-0.0572
wbc366,wbca,1,0.3732,0.4,0.0676,0.8059,0.7383,0.0268
wbc366,wbcc,1,0.3817,0.4,0.0676,0.8059,0.7383,0.0183
wbc366,wbcd,1,0.3711,0.4,0.0676,0.8059,0.7383,0.0289
wbc3ifndef,wbcfojtman,1,0.5748,0.6,0.1941,0.9324,0.7383,0.0252
wbc3ifndef,wbcpiggi,1,0.5983,0.6,0.1941,0.9324,0.7383,0.0017
wbc3ifndef,wbctasemnice,1,0.5449,0.6,0.1941,0.9324,0.7383,0.0551
wbc3ifndef,wbcgenghis,1,0.5429,0.6,0.1941,0.9324,0.7383,0.0571
wbc3ifndef,wbcmichi,1,0.5655,0.6,0.1941,0.9324,0.7383,0.0345
wbc3ifndef,wbcnirvana,1,0.5651,0.6,0.1941,0.9324,0.7383,0.0349
wbc3ifndef,wbcrostas,1,0.5428,0.6,0.1941,0.9324,0.7383,0.0572
wbc3ifndef,wbcbeetle,1,0.4572,0.4,0.0676,0.8059,0.7383,-0.0572
wbc3ifndef,wbcpuholek,1,0.4474,0.4,0.0676,0.8059,0.7383,-0.0474
wbc3ifndef,wbcquantum,1,0.4665,0.4,0.0676,0.8059,0.7383,-0.0665
wbc3ifndef,wbcg3m,1,0.4424,0.4,0.0676,0.8059,0.7383,-0.0424
wbca,wbc366,1,0.6268,0.6,0.1941,0.9324,0.7383,-0.0268
wbca,wbcbogimp,1,0.5643,0.6,0.1941,0.9324,0.7383,0.0357
wbca,wbckakosik,1,0.6256,0.6,0.1941,0.9324,0.7383,-0.0256
wbca,wbcset,1,0.5645,0.6,0.1941,0.9324,0.7383,0.0355
wbca,wbcuida,1,0.5941,0.6,0.1941,0.9324,0.7383,0.0059
wbca,wbcyu20,1,0.5439,0.6,0.1941,0.9324,0.7383,0.0561
wbca,wbciron,1,0.5409,0.6,0.1941,0.9324,0.7383,0.0591
wbca,wbcmark,1,0.5652,0.5,0.0943,0.9057,0.8114,-0.0652
wbca,wbczoli,1,0.4781,0.4,0.0676,0.8059,0.7383,-0.0781
wbcadelstepan,wbc1211,1,0.5204,0.6,0.1941,0.9324,0.7383,0.0796
wbcadelstepan,wbcg3m,1,0.3667,0.4,0.0676,0.8059,0.7383,0.0333
wbcadelstepan,wbcgenghis,1,0.4644,0.4,0.0676,0.8059,0.7383,-0.0644
wbcadelstepan,wbcmichi,1,0.4872,0.4,0.0676,0.8059,0.7383,-0.0872
wbcadelstepan,wbcnguyenminh,1,0.3818,0.4,0.0676,0.8059,0.7383,0.0182
wbcadelstepan,wbcplayer,1,0.4215,0.4,0.0676,0.8059,0.7383,-0.0215
wbcalleb,wbcangst,1,0.5702,0.6,0.1941,0.9324,0.7383,0.0298
wbcalleb,wbccrosslet,1,0.6004,0.6,0.1941,0.9324,0.7383,-0.0004
wbcalleb,wbcsiwer,1,0.5488,0.6,0.1941,0.9324,0.7383,0.0512
wbcalleb,wbccoldmind,1,0.5685,0.6,0.1941,0.9324,0.7383,0.0315
wbcalleb,wbcgeordie,1,0.5834,0.6,0.1941,0.9324,0.7383,0.0166
wbcalleb,wbcseabow,1,0.6026,0.6,0.1941,0.9324,0.7383,-0.0026
wbcalleb,wbckremufka,1,0.52,0.4,0.0676,0.8059,0.7383,-0.12
wbcalleb,wbcmatiss,1,0.4723,0.4,0.0676,0.8059,0.7383,-0.0723
wbcangst,wbcperoxid,1,0.5339,0.6,0.1941,0.9324,0.7383,0.0661
wbcangst,wbcdistilfire,1,0.5137,0.5,0.0943,0.9057,0.8114,-0.0137
wbcangst,wbcalleb,1,0.4298,0.4,0.0676,0.8059,0.7383,-0.0298
wbcangst,wbcfurla,1,0.4194,0.4,0.0676,0.8059,0.7383,-0.0194
wbcangst,wbclojzeidon,1,0.4561,0.4,0.0676,0.8059,0.7383,-0.0561
wbcangst,wbcmk108,1,0.4475,0.4,0.0676,0.8059,0.7383,-0.0475
wbcashot,wbcuida,1,0.5475,0.6,0.1941,0.9324,0.7383,0.0525
wbcashot,wbcyu20,1,0.4964,0.6,0.1941,0.9324,0.7383,0.1036
wbcashot,wbcpangbai,1,0.5081,0.5,0.0943,0.9057,0.8114,-0.0081
wbcashot,wbcmk108,1,0.495,0.4,0.0676,0.8059,0.7383,-0.095
wbcasz,wbccsaba,1,0.5536,0.6,0.1941,0.9324,0.7383,0.0464
wbcasz,wbckaktuszka,1,0.5542,0.6,0.1941,0.9324,0.7383,0.0458
wbcasz,wbctorpe,1,0.5543,0.6,0.1941,0.9324,0.7383,0.0457
wbcasz,wbcciaran,1,0.4053,0.4,0.0676,0.8059,0.7383,-0.0053
wbcasz,wbciwbtc,1,0.4254,0.4,0.0676,0.8059,0.7383,-0.0254
wbcasz,wbcmark,1,0.4591,0.4,0.0676,0.8059,0.7383,-0.0591
wbcasz,wbcmartez,1,0.4238,0.4,0.0676,0.8059,0.7383,-0.0238
wbcasz,wbcnguyenminh,1,0.3843,0.4,0.0676,0.8059,0.7383,0.0157
