tournament_round,match_id,sub_round,sub_round_score_a,sub_round_score_b,player_a_name,player_a_nick,player_a_team,player_b_name,player_b_nick,player_b_team,score_a,score_b,total_games,winner
1,Czechia A vs China,1,28.0,8.0,Adam Horváth,wbca,Czechia A,Liu Xiangbo,wbcuida,China,11.0,1.0,12.0,A
1,Czechia A vs China,1,28.0,8.0,František Fňukal,wbcd,Czechia A,Wang Haoran,wbc366,China,12.0,0.0,12.0,A
1,Czechia A vs China,1,28.0,8.0,Petr Žižka,wbcc,Czechia A,Liu Wenhao,wbcyu20,China,5.0,7.0,12.0,B
1,Czechia A vs China,2,29.0,7.0,Adam Horváth,wbca,Czechia A,Liu Wenhao,wbcyu20,China,7.0,5.0,12.0,A
1,Czechia A vs China,2,29.0,7.0,František Fňukal,wbcd,Czechia A,Liu Xiangbo,wbcuida,China,11.0,1.0,12.0,A
1,Czechia A vs China,2,29.0,7.0,Petr Žižka,wbcc,Czechia A,Wang Haoran,wbc366,China,11.0,1.0,12.0,A
1,Czechia A vs China,3,28.0,8.0,Adam Horváth,wbca,Czechia A,Wang Haoran,wbc366,China,12.0,0.0,12.0,A
1,Czechia A vs China,3,28.0,8.0,František Fňukal,wbcd,Czechia A,Liu Wenhao,wbcyu20,China,6.0,6.0,12.0,Draw
1,Czechia A vs China,3,28.0,8.0,Petr Žižka,wbcc,Czechia A,Liu Xiangbo,wbcuida,China,10.0,2.0,12.0,A
1,Czechia A vs China?Authuser=0,1,28.0,8.0,Adam Horváth,wbca,Czechia A,Liu Xiangbo,wbcuida,China?Authuser=0,11.0,1.0,12.0,A
1,Czechia A vs China?Authuser=0,1,28.0,8.0,František Fňukal,wbcd,Czechia A,Wang Haoran,wbc366,China?Authuser=0,12.0,0.0,12.0,A
1,Czechia A vs China?Authuser=0,1,28.0,8.0,Petr Žižka,wbcc,Czechia A,Liu Wenhao,wbcyu20,China?Authuser=0,5.0,7.0,12.0,B
1,Czechia A vs China?Authuser=0,2,29.0,7.0,Adam Horváth,wbca,Czechia A,Liu Wenhao,wbcyu20,China?Authuser=0,7.0,5.0,12.0,A
1,Czechia A vs China?Authuser=0,2,29.0,7.0,František Fňukal,wbcd,Czechia A,Liu Xiangbo,wbcuida,China?Authuser=0,11.0,1.0,12.0,A
1,Czechia A vs China?Authuser=0,2,29.0,7.0,Petr Žižka,wbcc,Czechia A,Wang Haoran,wbc366,China?Authuser=0,11.0,1.0,12.0,A
1,Czechia A vs China?Authuser=0,3,28.0,8.0,Adam Horváth,wbca,Czechia A,Wang Haoran,wbc366,China?Authuser=0,12.0,0.0,12.0,A
1,Czechia A vs China?Authuser=0,3,28.0,8.0,František Fňukal,wbcd,Czechia A,Liu Wenhao,wbcyu20,China?Authuser=0,6.0,6.0,12.0,Draw
1,Czechia A vs China?Authuser=0,3,28.0,8.0,Petr Žižka,wbcc,Czechia A,Liu Xiangbo,wbcuida,China?Authuser=0,10.0,2.0,12.0,A
1,Czechia D vs Hungary C,1,33.0,3.0,Jakub Fojtík,wbcfojtman,Czechia D,Csaba Kamarás,wbccsaba,Hungary C,12.0,0.0,12.0,A
1,Czechia D vs Hungary C,1,33.0,3.0,Josef Holba,wbcwonderwall,Czechia D,Krisztina Kamarás,wbckaktuszka,Hungary C,11.0,1.0,12.0,A
1,Czechia D vs Hungary C,1,33.0,3.0,Tomáš Palacký,wbctasemnice,Czechia D,M. Nándor Halena,wbctorpe,Hungary C,10.0,2.0,12.0,A
1,Czechia D vs Hungary C,2,33.0,3.0,Jakub Fojtík,wbcfojtman,Czechia D,M. Nándor Halena,wbctorpe,Hungary C,12.0,0.0,12.0,A
1,Czechia D vs Hungary C,2,33.0,3.0,Josef Holba,wbcwonderwall,Czechia D,Csaba Kamarás,wbccsaba,Hungary C,10.0,2.0,12.0,A
1,Czechia D vs Hungary C,2,33.0,3.0,Tomáš Palacký,wbctasemnice,Czechia D,Krisztina Kamarás,wbckaktuszka,Hungary C,11.0,1.0,12.0,A
1,Czechia D vs Hungary C,3,35.0,1.0,Matěj Holub,wbcpiggi,Czechia D,Krisztina Kamarás,wbckaktuszka,Hungary C,12.0,0.0,12.0,A
1,Czechia D vs Hungary C,3,35.0,1.0,Josef Holba,wbcwonderwall,Czechia D,M. Nándor Halena,wbctorpe,Hungary C,12.0,0.0,12.0,A
1,Czechia D vs Hungary C,3,35.0,1.0,Tomáš Palacký,wbctasemnice,Czechia D,Csaba Kamarás,wbccsaba,Hungary C,11.0,1.0,12.0,A
1,Czechia D vs Hungary C?Authuser=0,1,33.0,3.0,Jakub Fojtík,wbcfojtman,Czechia D,Csaba Kamarás,wbccsaba,Hungary C?Authuser=0,12.0,0.0,12.0,A
1,Czechia D vs Hungary C?Authuser=0,1,33.0,3.0,Josef Holba,wbcwonderwall,Czechia D,Krisztina Kamarás,wbckaktuszka,Hungary C?Authuser=0,11.0,1.0,12.0,A
1,Czechia D vs Hungary C?Authuser=0,1,33.0,3.0,Tomáš Palacký,wbctasemnice,Czechia D,M. Nándor Halena,wbctorpe,Hungary C?Authuser=0,10.0,2.0,12.0,A
1,Czechia D vs Hungary C?Authuser=0,2,33.0,3.0,Jakub Fojtík,wbcfojtman,Czechia D,M. Nándor Halena,wbctorpe,Hungary C?Authuser=0,12.0,0.0,12.0,A
1,Czechia D vs Hungary C?Authuser=0,2,33.0,3.0,Josef Holba,wbcwonderwall,Czechia D,Csaba Kamarás,wbccsaba,Hungary C?Authuser=0,10.0,2.0,12.0,A
1,Czechia D vs Hungary C?Authuser=0,2,33.0,3.0,Tomáš Palacký,wbctasemnice,Czechia D,Krisztina Kamarás,wbckaktuszka,Hungary C?Authuser=0,11.0,1.0,12.0,A
