tournament_round,match_id,player_name,player_nick,team,total_score,total_games,efficiency
1,Czechia A vs China,Adam Horváth,wbca,Czechia A,30.0,36,0.8333
1,Czechia A vs China,František Fňukal,wbcd,Czechia A,29.0,36,0.8056
1,Czechia A vs China,Petr Žižka,wbcc,Czechia A,26.0,36,0.7222
1,Czechia A vs China,Liu Wenhao,wbcyu20,China,18.0,36,0.5
1,Czechia A vs China,Liu Xiangbo,wbcuida,China,4.0,36,0.1111
1,Czechia A vs China,Wang Haoran,wbc366,China,1.0,36,0.0278
1,Czechia A vs China?Authuser=0,Adam Horváth,wbca,Czechia A,30.0,36,0.8333
1,Czechia A vs China?Authuser=0,František Fňukal,wbcd,Czechia A,29.0,36,0.8056
1,Czechia A vs China?Authuser=0,Petr Žižka,wbcc,Czechia A,26.0,36,0.7222
1,Czechia A vs China?Authuser=0,Liu Wenhao,wbcyu20,China?Authuser=0,18.0,36,0.5
1,Czechia A vs China?Authuser=0,Liu Xiangbo,wbcuida,China?Authuser=0,4.0,36,0.1111
1,Czechia A vs China?Authuser=0,Wang Haoran,wbc366,China?Authuser=0,1.0,36,0.0278
1,Czechia D vs Hungary C,Josef Holba,wbcwonderwall,Czechia D,33.0,36,0.9167
1,Czechia D vs Hungary C,Tomáš Palacký,wbctasemnice,Czechia D,32.0,36,0.8889
1,Czechia D vs Hungary C,Jakub Fojtík,wbcfojtman,Czechia D,24.0,24,1.0
1,Czechia D vs Hungary C,Matěj Holub,wbcpiggi,Czechia D,12.0,12,1.0
1,Czechia D vs Hungary C,Csaba Kamarás,wbccsaba,Hungary C,3.0,36,0.0833
1,Czechia D vs Hungary C,M. Nándor Halena,wbctorpe,Hungary C,2.0,36,0.0556
1,Czechia D vs Hungary C,Krisztina Kamarás,wbckaktuszka,Hungary C,2.0,36,0.0556
1,Czechia D vs Hungary C?Authuser=0,Josef Holba,wbcwonderwall,Czechia D,33.0,36,0.9167
1,Czechia D vs Hungary C?Authuser=0,Tomáš Palacký,wbctasemnice,Czechia D,32.0,36,0.8889
1,Czechia D vs Hungary C?Authuser=0,Jakub Fojtík,wbcfojtman,Czechia D,24.0,24,1.0
1,Czechia D vs Hungary C?Authuser=0,Matěj Holub,wbcpiggi,Czechia D,12.0,12,1.0
1,Czechia D vs Hungary C?Authuser=0,Csaba Kamarás,wbccsaba,Hungary C?Authuser=0,3.0,36,0.0833
1,Czechia D vs Hungary C?Authuser=0,M. Nándor Halena,wbctorpe,Hungary C?Authuser=0,2.0,36,0.0556
1,Czechia D vs Hungary C?Authuser=0,Krisztina Kamarás,wbckaktuszka,Hungary C?Authuser=0,2.0,36,0.0556
1,Hungary B vs Hungary A,Gábor Nagy,wbcasz,Hungary B,8.0,36,0.2222
1,Hungary B vs Hungary A,Róbert Pátkai,wbcnirvana,Hungary B,7.0,36,0.1944
1,Hungary B vs Hungary A,Ferenc Rostás,wbcrostas,Hungary B,3.0,24,0.125
